tensor,owen,stream,stoc_len,ref_rms,mse,rmse,max_abs,rel_fro,cos
L0.up_proj,off,full,32,0.08224800229072571,0.0006229763966985047,0.024959495121065742,1.4051032066345215,0.303466260433197,0.9698358774185181
L0.up_proj,off,full,16,0.08224800229072571,0.0028785488102585077,0.053652109094223945,3.1283414363861084,0.6523211002349854,0.9003245830535889
L0.up_proj,off,halve,128,0.08224800229072571,2.361735278100241e-05,0.004859768799130511,0.21367216110229492,0.059086769819259644,0.9983174204826355
L0.up_proj,counter,full,256,0.08224800229072571,6.305969236564124e-06,0.0025111688984542882,0.09751653671264648,0.03053167089819908,0.9995617270469666
L0.up_proj,counter,full,128,0.08224800229072571,1.7644104445935227e-05,0.0042004885960963195,0.042373351752758026,0.051071006804704666,0.9986967444419861
L0.up_proj,counter,full,64,0.08224800229072571,6.100074460846372e-05,0.007810297344433419,0.07323314249515533,0.09496032446622849,0.9955194592475891
L0.up_proj,counter,full,32,0.08224800229072571,0.00021055337856523693,0.0145104575587828,0.11211155354976654,0.17642320692539215,0.9848121404647827
L0.up_proj,counter,full,16,0.08224800229072571,0.0006937026046216488,0.026338234652718256,0.29073667526245117,0.3202294707298279,0.9529606699943542
L0.up_proj,counter,halve,128,0.08224800229072571,1.7103478967328556e-05,0.004135635255595995,0.04357442259788513,0.050282496958971024,0.998735785484314
L0.up_proj,bitrev,full,256,0.08224800229072571,6.305969236564124e-06,0.0025111688984542882,0.09751653671264648,0.03053167089819908,0.9995617270469666
L0.up_proj,bitrev,full,128,0.08224800229072571,1.6761287042754702e-05,0.004094055085456802,0.029144026339054108,0.04977695271372795,0.9988423585891724
L0.up_proj,bitrev,full,64,0.08224800229072571,5.6956414482556283e-05,0.007546947361851432,0.0652742013335228,0.09175842255353928,0.9959617853164673
