tensor,proj,stoc_len,halve,scramble,mse,rel_fro
L0.q_proj,q_proj,96,full,counter,0.00033043697476387024,0.014593006111681461
L0.q_proj,q_proj,96,full,bitrev,0.0003395316016394645,0.01479246560484171
L0.q_proj,q_proj,96,halve,off,0.004703355487436056,0.05505596473813057
L0.q_proj,q_proj,96,halve,counter,0.0003209613496437669,0.014382250607013702
L0.q_proj,q_proj,96,halve,bitrev,0.0002785856486298144,0.013399229384958744
L0.q_proj,q_proj,64,full,off,0.016641302034258842,0.10356049239635468
L0.q_proj,q_proj,64,full,counter,0.000733138294890523,0.021736690774559975
L0.q_proj,q_proj,64,full,bitrev,0.0006589630502276123,0.02060776948928833
L0.q_proj,q_proj,64,halve,off,0.015352868475019932,0.09947070479393005
L0.q_proj,q_proj,64,halve,counter,0.000722013006452471,0.02157113328576088
L0.q_proj,q_proj,64,halve,bitrev,0.0005361527437344193,0.018588516861200333
L0.q_proj,q_proj,48,full,off,0.028834374621510506,0.13631878793239594
L0.q_proj,q_proj,48,full,counter,0.001162037835456431,0.027365954592823982
L0.q_proj,q_proj,48,full,bitrev,0.001164752640761435,0.02739790268242359
L0.q_proj,q_proj,48,halve,off,0.027326466515660286,0.13270649313926697
L0.q_proj,q_proj,48,halve,counter,0.001147576840594411,0.027195144444704056
L0.q_proj,q_proj,48,halve,bitrev,0.0009418327244929969,0.024636974558234215
L0.q_proj,q_proj,32,full,off,0.0809280276298523,0.22837573289871216
L0.q_proj,q_proj,32,full,counter,0.0023991819471120834,0.03932167962193489
L0.q_proj,q_proj,32,full,bitrev,0.0020233560353517532,0.036110758781433105
L0.q_proj,q_proj,32,halve,off,0.0777149572968483,0.22379623353481293
L0.q_proj,q_proj,32,halve,counter,0.0023665528278797865,0.03905337676405907
L0.q_proj,q_proj,32,halve,bitrev,0.0018012787913903594,0.03407147526741028
L0.q_proj,q_proj,16,full,off,0.3700319528579712,0.48833751678466797
L0.q_proj,q_proj,16,full,counter,0.009245452471077442,0.07719062268733978
L0.q_proj,q_proj,16,full,bitrev,0.005301348399370909,0.058451227843761444
L0.q_proj,q_proj,16,halve,off,0.36306148767471313,0.48371613025665283
L0.q_proj,q_proj,16,halve,counter,0.00883779302239418,0.07546965777873993
L0.q_proj,q_proj,16,halve,bitrev,0.005001303739845753,0.05677302926778793
L0.up_proj,up_proj,256,full,off,6.305969236564124e-06,0.03053167089819908
L0.up_proj,up_proj,256,full,counter,6.305969236564124e-06,0.03053167089819908
L0.up_proj,up_proj,256,full,bitrev,6.305969236564124e-06,0.03053167089819908
L0.up_proj,up_proj,256,halve,off,5.662512194248848e-06,0.028932049870491028
L0.up_proj,up_proj,256,halve,counter,4.8539709496253636e-06,0.02678694762289524
L0.up_proj,up_proj,256,halve,bitrev,4.835841536987573e-06,0.026736875995993614
L0.up_proj,up_proj,192,full,off,1.0337145795347169e-05,0.0390908345580101
L0.up_proj,up_proj,192,full,counter,8.807431186141912e-06,0.03608271852135658
L0.up_proj,up_proj,192,full,bitrev,8.582741429563612e-06,0.03561948612332344
L0.up_proj,up_proj,192,halve,off,9.679807590146083e-06,0.03782752901315689
L0.up_proj,up_proj,192,halve,counter,8.753871043154504e-06,0.03597283735871315
L0.up_proj,up_proj,192,halve,bitrev,8.341771717823576e-06,0.03511589765548706
L0.up_proj,up_proj,128,full,off,2.7221003620070405e-05,0.0634346678853035
L0.up_proj,up_proj,128,full,counter,1.7644104445935227e-05,0.051071006804704666
L0.up_proj,up_proj,128,full,bitrev,1.6761287042754702e-05,0.04977695271372795
L0.up_proj,up_proj,128,halve,off,2.361735278100241e-05,0.059086769819259644
L0.up_proj,up_proj,128,halve,counter,1.7103478967328556e-05,0.050282496958971024
L0.up_proj,up_proj,128,halve,bitrev,1.580993011884857e-05,0.04834366589784622
L0.up_proj,up_proj,96,full,off,4.69585029350128e-05,0.08331663906574249
L0.up_proj,up_proj,96,full,counter,2.9533666747738607e-05,0.0660744160413742
L0.up_proj,up_proj,96,full,bitrev,2.783793388516642e-05,0.06414947658777237
L0.up_proj,up_proj,96,halve,off,4.254037048667669e-05,0.07930038124322891
L0.up_proj,up_proj,96,halve,counter,2.8916003429912962e-05,0.06537982076406479
L0.up_proj,up_proj,96,halve,bitrev,2.6778507162816823e-05,0.06291697174310684
L0.up_proj,up_proj,64,full,off,0.00013316435797605664,0.14030355215072632
L0.up_proj,up_proj,64,full,counter,6.100074460846372e-05,0.09496032446622849
L0.up_proj,up_proj,64,full,bitrev,5.6956414482556283e-05,0.09175842255353928
L0.up_proj,up_proj,64,halve,off,0.00012256794434506446,0.13460558652877808
L0.up_proj,up_proj,64,halve,counter,6.035016485839151e-05,0.09445258975028992
L0.up_proj,up_proj,64,halve,bitrev,5.577657793764956e-05,0.09080307930707932
L0.up_proj,up_proj,48,full,off,0.00022715494560543448,0.18324650824069977
L0.up_proj,up_proj,48,full,counter,0.00010256348468828946,0.12313202768564224
L0.up_proj,up_proj,48,full,bitrev,9.448241326026618e-05,0.11818166822195053
L0.up_proj,up_proj,48,halve,off,0.00021510555234272033,0.17832015454769135
L0.up_proj,up_proj,48,halve,counter,0.00010198768723057583,0.12278589606285095
L0.up_proj,up_proj,48,halve,bitrev,9.274474723497406e-05,0.11708986759185791
L0.up_proj,up_proj,32,full,off,0.0006229763966985047,0.303466260433197
L0.up_proj,up_proj,32,full,counter,0.00021055337856523693,0.17642320692539215
L0.up_proj,up_proj,32,full,bitrev,0.00018451755749993026,0.16515566408634186
L0.up_proj,up_proj,32,halve,off,0.0005973193910904229,0.29715150594711304
L0.up_proj,up_proj,32,halve,counter,0.00020975554070901126,0.17608864605426788
L0.up_proj,up_proj,32,halve,bitrev,0.00018234584422316402,0.16418087482452393
L0.up_proj,up_proj,16,full,off,0.0028785488102585077,0.6523211002349854
L0.up_proj,up_proj,16,full,counter,0.0006937026046216488,0.3202294707298279
L0.up_proj,up_proj,16,full,bitrev,0.0005891037289984524,0.2951008677482605
L0.up_proj,up_proj,16,halve,off,0.0028294986113905907,0.6467394828796387
L0.up_proj,up_proj,16,halve,counter,0.0006917592254467309,0.3197805881500244
L0.up_proj,up_proj,16,halve,bitrev,0.000584348919801414,0.2939075231552124
L0.v_proj,v_proj,256,full,off,1.0291170838172548e-05,0.09217509627342224
L0.v_proj,v_proj,256,full,counter,1.0291170838172548e-05,0.09217509627342224
L0.v_proj,v_proj,256,full,bitrev,1.0291170838172548e-05,0.09217509627342224
L0.v_proj,v_proj,256,halve,off,9.945269084710162e-06,0.09061277657747269
L0.v_proj,v_proj,256,halve,counter,5.366010555007961e-06,0.06655902415513992
L0.v_proj,v_proj,256,halve,bitrev,5.222625077294651e-06,0.06566374003887177
L0.v_proj,v_proj,192,full,off,1.724160392768681e-05,0.11930812150239944
L0.v_proj,v_proj,192,full,counter,9.603162652638275e-06,0.08904065936803818
L0.v_proj,v_proj,192,full,bitrev,9.330725333711598e-06,0.0877685397863388
L0.v_proj,v_proj,192,halve,off,1.699338281468954e-05,0.11844618618488312
L0.v_proj,v_proj,192,halve,counter,9.534078344586305e-06,0.08871979266405106
L0.v_proj,v_proj,192,halve,bitrev,9.285077794629615e-06,0.08755359053611755
L0.v_proj,v_proj,128,full,off,4.517506749834865e-05,0.19312147796154022
L0.v_proj,v_proj,128,full,counter,1.8274435205967166e-05,0.1228296309709549
L0.v_proj,v_proj,128,full,bitrev,1.5941104720695876e-05,0.11472032964229584
L0.v_proj,v_proj,128,halve,off,4.397680822876282e-05,0.1905430108308792
L0.v_proj,v_proj,128,halve,counter,1.8155093130189925e-05,0.12242790311574936
L0.v_proj,v_proj,128,halve,bitrev,1.5629158951924182e-05,0.11359231919050217
L0.v_proj,v_proj,96,full,off,8.454537601210177e-05,0.26419591903686523
L0.v_proj,v_proj,96,full,counter,3.138313695671968e-05,0.1609642207622528
